,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
41,0.6570248,0.6487603,0.6528926,0.677686,0.7066116,0.7355372,0.7644628,0.7933884
359,0.47107437,0.55785125,0.6446281,0.5785124,0.4090909,0.60330576,0.74380165,0.8181818
360,0.1694215,0.29338843,0.56198347,0.677686,0.72727275,0.75619835,0.76859504,0.78512394
63,0.2231405,0.23966943,0.23140496,0.1983471,0.17355372,0.17355372,0.17355372,0.2603306
202,0.3305785,0.35950413,0.2603306,0.19008264,0.1983471,0.2520661,0.29752067,0.36363637
168,0.5371901,0.5206612,0.5371901,0.59504133,0.6404959,0.70247936,0.73140496,0.6735537
243,0.13636364,0.12396694,0.10743801,0.11157025,0.12396694,0.12396694,0.12396694,0.12809917
198,0.48347107,0.446281,0.46280992,0.4876033,0.49586776,0.46280992,0.5206612,0.58264464
83,0.61570245,0.6859504,0.71487606,0.73966944,0.7355372,0.75206614,0.75206614,0.73966944
55,0.77272725,0.7644628,0.75206614,0.7644628,0.78512394,0.7933884,0.79752064,0.80991733
350,0.59090906,0.74793386,0.8264463,0.8553719,0.8429752,0.8264463,0.8347107,0.838843
355,0.5165289,0.45867768,0.29752067,0.27272728,0.20661157,0.37603307,0.5661157,0.6446281
213,0.12396694,0.12809917,0.11570248,0.13636364,0.11570248,0.10743801,0.11570248,0.11570248
335,0.18595041,0.29752067,0.6652893,0.838843,0.8553719,0.8595041,0.8553719,0.8553719
326,0.61157024,0.72727275,0.74380165,0.7644628,0.7644628,0.77272725,0.77272725,0.79752064
394,0.36363637,0.5495868,0.75206614,0.79752064,0.7933884,0.8347107,0.8636364,0.8677686
170,0.57024795,0.59917355,0.6487603,0.6652893,0.677686,0.71487606,0.7355372,0.73966944
58,0.1694215,0.2644628,0.21900827,0.28099173,0.4214876,0.5495868,0.6694215,0.70247936
339,0.5,0.4876033,0.5371901,0.57438016,0.59504133,0.59504133,0.6280992,0.6446281
21,0.6694215,0.6818182,0.7066116,0.71487606,0.71900827,0.72727275,0.72727275,0.7355372
86,0.3553719,0.4090909,0.5,0.6322314,0.7066116,0.74380165,0.74793386,0.7644628
188,0.5165289,0.58264464,0.6694215,0.5247934,0.3966942,0.6322314,0.7933884,0.8429752
13,0.39256197,0.5247934,0.6198347,0.69008267,0.73966944,0.77272725,0.8016529,0.8181818
120,0.2603306,0.19421488,0.1446281,0.3140496,0.48347107,0.5082645,0.5247934,0.57438016
236,0.7107438,0.72727275,0.73140496,0.7355372,0.74793386,0.76033056,0.78099173,0.77272725
159,0.21487603,0.21900827,0.21900827,0.2231405,0.2107438,0.20247933,0.2768595,0.40082645
219,0.33471075,0.3305785,0.3429752,0.2892562,0.23553719,0.1983471,0.1322314,0.14049587
20,0.20247933,0.25619835,0.32231405,0.45041323,0.57438016,0.6652893,0.71487606,0.76859504
148,0.1983471,0.2231405,0.23553719,0.18595041,0.2603306,0.47933885,0.5165289,0.53305787
258,0.6322314,0.677686,0.6735537,0.7107438,0.73966944,0.75619835,0.77272725,0.78099173
137,0.4338843,0.5247934,0.6942149,0.7644628,0.77272725,0.7933884,0.8140496,0.80991733
229,0.5,0.5123967,0.5289256,0.5206612,0.5165289,0.5289256,0.5661157,0.59917355
8,0.33471075,0.38842976,0.49173555,0.62396693,0.7355372,0.7644628,0.75619835,0.7644628
67,0.6652893,0.7768595,0.7892562,0.8016529,0.8181818,0.8016529,0.7933884,0.79752064
68,0.2892562,0.338843,0.41735536,0.5041322,0.553719,0.56198347,0.58264464,0.6280992
2,0.5082645,0.60330576,0.6198347,0.6280992,0.6570248,0.6652893,0.69008267,0.72727275
212,0.36363637,0.33471075,0.38016528,0.37603307,0.39256197,0.42561984,0.47933885,0.57024795
367,0.24380165,0.24380165,0.24793388,0.24793388,0.2520661,0.25619835,0.25619835,0.2107438
327,0.38429752,0.5082645,0.6198347,0.7231405,0.7644628,0.7768595,0.79752064,0.8140496
84,0.6528926,0.6652893,0.6735537,0.71900827,0.75206614,0.7644628,0.73966944,0.7768595
253,0.43801653,0.47933885,0.5123967,0.553719,0.57438016,0.59504133,0.62396693,0.6322314
381,0.48347107,0.5247934,0.54545456,0.56198347,0.5661157,0.5785124,0.58677685,0.607438
191,0.54545456,0.55785125,0.59090906,0.60330576,0.62396693,0.62396693,0.6487603,0.677686
70,0.12396694,0.09917355,0.12396694,0.10743801,0.10743801,0.12809917,0.12809917,0.1322314
45,0.30165288,0.24793388,0.17768595,0.12396694,0.13636364,0.1983471,0.29752067,0.38429752
132,0.6198347,0.6818182,0.6983471,0.7107438,0.7107438,0.71487606,0.71487606,0.73140496
11,0.3429752,0.28512397,0.70247936,0.8305785,0.7892562,0.80991733,0.7892562,0.7892562
218,0.3264463,0.1983471,0.21487603,0.23966943,0.2603306,0.28099173,0.33471075,0.38429752
320,0.20661157,0.2768595,0.3553719,0.38429752,0.42561984,0.45041323,0.46694216,0.47933885
220,0.21900827,0.22727273,0.3966942,0.4876033,0.5041322,0.5123967,0.5371901,0.59917355
123,0.3305785,0.35123968,0.3677686,0.37603307,0.42975205,0.46694216,0.5495868,0.61157024
118,0.4214876,0.4752066,0.5371901,0.5495868,0.54545456,0.55785125,0.57024795,0.59504133
155,0.42975205,0.5041322,0.6322314,0.6859504,0.6652893,0.661157,0.661157,0.6363636
373,0.6280992,0.6652893,0.6859504,0.6942149,0.71900827,0.73140496,0.75206614,0.76859504
119,0.21900827,0.17768595,0.18181819,0.19421488,0.25619835,0.38429752,0.5,0.57024795
288,0.09917355,0.0661157,0.32231405,0.5165289,0.5785124,0.607438,0.6280992,0.6446281
321,0.32231405,0.41322315,0.446281,0.49173555,0.53305787,0.55785125,0.58677685,0.61157024
316,0.36363637,0.29752067,0.25619835,0.2107438,0.2644628,0.57438016,0.6735537,0.6983471
128,0.23553719,0.35123968,0.47933885,0.54545456,0.5661157,0.5661157,0.59504133,0.607438
110,0.61570245,0.6528926,0.6404959,0.6859504,0.73966944,0.7644628,0.7933884,0.8057851
46,0.5206612,0.5495868,0.58677685,0.59090906,0.607438,0.61157024,0.6487603,0.661157
74,0.30578512,0.3140496,0.21900827,0.2603306,0.30991736,0.35950413,0.38016528,0.45041323
100,0.19008264,0.19421488,0.11157025,0.44214877,0.57438016,0.6528926,0.7107438,0.7231405
105,0.12809917,0.18595041,0.24793388,0.3140496,0.38842976,0.46280992,0.5206612,0.55785125
1,0.18595041,0.12809917,0.11570248,0.1322314,0.18595041,0.26859504,0.4338843,0.5413223
247,0.5289256,0.79752064,0.8264463,0.822314,0.822314,0.8181818,0.8057851,0.8181818
275,0.677686,0.677686,0.6818182,0.7066116,0.73140496,0.73966944,0.75619835,0.7644628
353,0.15289256,0.1446281,0.19421488,0.23553719,0.21900827,0.20661157,0.446281,0.5123967
227,0.45454547,0.49586776,0.54545456,0.59504133,0.6198347,0.59917355,0.59917355,0.6322314
40,0.3553719,0.39256197,0.446281,0.46280992,0.4752066,0.49173555,0.5,0.5041322
378,0.38429752,0.2231405,0.2231405,0.30578512,0.42975205,0.5082645,0.55785125,0.58677685
363,0.47107437,0.5123967,0.49173555,0.49586776,0.5413223,0.5206612,0.57024795,0.6198347
334,0.75206614,0.7768595,0.7768595,0.78512394,0.79752064,0.8016529,0.8057851,0.80991733
361,0.3305785,0.4090909,0.5495868,0.59917355,0.6198347,0.607438,0.62396693,0.6652893
336,0.6363636,0.677686,0.6694215,0.661157,0.6528926,0.6942149,0.72727275,0.76033056
89,0.3264463,0.48347107,0.5247934,0.59917355,0.6652893,0.70247936,0.70247936,0.7107438
157,0.5289256,0.5413223,0.5785124,0.61157024,0.6363636,0.6363636,0.6528926,0.677686
193,0.34710744,0.34710744,0.16115703,0.041322313,0.24380165,0.45867768,0.5123967,0.5661157
154,0.5413223,0.58677685,0.6404959,0.661157,0.6859504,0.6859504,0.69008267,0.6983471
268,0.73966944,0.74793386,0.76033056,0.76859504,0.7768595,0.78512394,0.7933884,0.8140496
79,0.17768595,0.14049587,0.11570248,0.13636364,0.17768595,0.3181818,0.47107437,0.54545456
61,0.45454547,0.3677686,0.23966943,0.23553719,0.36363637,0.5165289,0.5661157,0.58677685
16,0.76859504,0.7355372,0.7644628,0.7933884,0.8057851,0.7892562,0.7892562,0.74793386
183,0.2520661,0.2644628,0.3553719,0.338843,0.61157024,0.79752064,0.838843,0.8553719
121,0.25619835,0.2644628,0.2603306,0.46694216,0.72727275,0.8140496,0.822314,0.8181818
189,0.20247933,0.2107438,0.2768595,0.38842976,0.5289256,0.607438,0.61157024,0.5495868
166,0.28512397,0.37603307,0.45454547,0.5247934,0.5785124,0.6694215,0.7107438,0.72727275
24,0.30991736,0.3677686,0.41735536,0.44214877,0.5289256,0.607438,0.6570248,0.677686
343,0.29338843,0.4090909,0.53305787,0.57438016,0.607438,0.6487603,0.6942149,0.7066116
296,0.17355372,0.16115703,0.16115703,0.2520661,0.36363637,0.45454547,0.5247934,0.61157024
281,0.6280992,0.6570248,0.6487603,0.6570248,0.6818182,0.677686,0.72727275,0.74380165
10,0.38016528,0.44214877,0.48347107,0.54545456,0.58264464,0.6280992,0.6487603,0.677686
348,0.7933884,0.7892562,0.78099173,0.78512394,0.7892562,0.78512394,0.78512394,0.78512394
52,0.42561984,0.45454547,0.47107437,0.4876033,0.5165289,0.5,0.5289256,0.5413223
347,0.661157,0.74793386,0.7768595,0.7644628,0.838843,0.8140496,0.822314,0.80991733
112,0.48347107,0.5247934,0.553719,0.58264464,0.607438,0.62396693,0.6404959,0.661157
287,0.5495868,0.5371901,0.49586776,0.58264464,0.59917355,0.58264464,0.59504133,0.6570248
32,0.38842976,0.46280992,0.553719,0.70247936,0.76033056,0.76859504,0.76859504,0.7768595
56,0.12809917,0.3140496,0.553719,0.6404959,0.6818182,0.6942149,0.6818182,0.6652893
380,0.76033056,0.76859504,0.76033056,0.7768595,0.78099173,0.7892562,0.7933884,0.8140496
81,0.6818182,0.7066116,0.71900827,0.7107438,0.71487606,0.72727275,0.7355372,0.73966944
267,0.39256197,0.57438016,0.59917355,0.62396693,0.6735537,0.7107438,0.7355372,0.74380165
51,0.13636364,0.12809917,0.12396694,0.11983471,0.11983471,0.10743801,0.12809917,0.14049587
50,0.5247934,0.49173555,0.5371901,0.6528926,0.6942149,0.6983471,0.6942149,0.71487606
205,0.45454547,0.5041322,0.5041322,0.5041322,0.54545456,0.59090906,0.6198347,0.6280992
66,0.19421488,0.26859504,0.3677686,0.4876033,0.54545456,0.56198347,0.5785124,0.607438
29,0.3429752,0.3264463,0.39256197,0.5661157,0.71900827,0.78512394,0.822314,0.838843
164,0.2768595,0.38016528,0.4876033,0.53305787,0.5371901,0.553719,0.58264464,0.61157024
266,0.6280992,0.6363636,0.5495868,0.45041323,0.6487603,0.77272725,0.8347107,0.8471074
282,0.5123967,0.57024795,0.59917355,0.607438,0.6363636,0.6694215,0.6942149,0.71900827
309,0.47107437,0.5082645,0.5123967,0.5206612,0.53305787,0.5495868,0.55785125,0.5661157
323,0.28512397,0.23553719,0.23553719,0.29752067,0.5206612,0.6735537,0.71900827,0.71900827
292,0.2892562,0.1570248,0.14876033,0.19008264,0.1694215,0.19421488,0.40495867,0.607438
232,0.56198347,0.56198347,0.553719,0.55785125,0.5661157,0.57024795,0.57024795,0.553719
396,0.2603306,0.3553719,0.6487603,0.822314,0.838843,0.8347107,0.8305785,0.8264463
136,0.17355372,0.1322314,0.11157025,0.2892562,0.5,0.57024795,0.6198347,0.6859504
272,0.42975205,0.45041323,0.49586776,0.5289256,0.57024795,0.59090906,0.59917355,0.59917355
144,0.28099173,0.35950413,0.40495867,0.446281,0.5495868,0.5785124,0.607438,0.6528926
4,0.6528926,0.6446281,0.6528926,0.7066116,0.71487606,0.71900827,0.74380165,0.74793386
248,0.6404959,0.6818182,0.71900827,0.73140496,0.73966944,0.7644628,0.7768595,0.78512394
92,0.59504133,0.661157,0.69008267,0.7066116,0.7231405,0.73140496,0.7355372,0.7644628
244,0.5413223,0.553719,0.58264464,0.6198347,0.6322314,0.6694215,0.70247936,0.72727275
351,0.42975205,0.4752066,0.5206612,0.5495868,0.553719,0.58677685,0.6280992,0.6528926
160,0.08677686,0.09917355,0.11570248,0.12809917,0.21487603,0.35950413,0.5123967,0.60330576
318,0.2231405,0.30165288,0.39256197,0.45867768,0.5,0.5123967,0.5165289,0.5041322
90,0.13636364,0.17768595,0.23553719,0.2892562,0.33471075,0.36363637,0.3966942,0.4090909
349,0.6280992,0.6446281,0.6735537,0.6983471,0.6983471,0.6983471,0.677686,0.69008267
145,0.3553719,0.338843,0.16115703,0.1570248,0.14876033,0.13636364,0.19008264,0.30578512
139,0.4876033,0.5082645,0.5082645,0.5247934,0.5413223,0.553719,0.56198347,0.57438016
35,0.5371901,0.60330576,0.6528926,0.6652893,0.6735537,0.6735537,0.7107438,0.7355372
12,0.2644628,0.26859504,0.43801653,0.58264464,0.59504133,0.60330576,0.6280992,0.6735537
71,0.60330576,0.58677685,0.5413223,0.60330576,0.60330576,0.607438,0.6487603,0.6404959
153,0.6322314,0.6487603,0.6363636,0.6280992,0.6487603,0.6404959,0.6487603,0.6280992
147,0.5165289,0.59917355,0.6446281,0.661157,0.6859504,0.6818182,0.72727275,0.74380165
291,0.5206612,0.5206612,0.53305787,0.5661157,0.6280992,0.6694215,0.6942149,0.6942149
307,0.24380165,0.29752067,0.3677686,0.45454547,0.49586776,0.5371901,0.5785124,0.60330576
59,0.54545456,0.58264464,0.59090906,0.59090906,0.61157024,0.6363636,0.6446281,0.6570248
300,0.2520661,0.2520661,0.2520661,0.2520661,0.25619835,0.23966943,0.23553719,0.23553719
221,0.4752066,0.5206612,0.5371901,0.5661157,0.55785125,0.56198347,0.5785124,0.607438
78,0.42975205,0.4752066,0.5123967,0.5247934,0.5413223,0.57024795,0.5371901,0.5661157
57,0.3966942,0.3677686,0.3429752,0.36363637,0.38429752,0.3966942,0.46280992,0.5206612
237,0.28099173,0.19421488,0.30165288,0.4876033,0.53305787,0.5413223,0.5413223,0.58264464
179,0.1983471,0.17768595,0.18181819,0.18181819,0.19008264,0.28099173,0.5123967,0.661157
69,0.8057851,0.822314,0.8347107,0.8347107,0.838843,0.8429752,0.838843,0.838843
131,0.49586776,0.53305787,0.5785124,0.60330576,0.57438016,0.61570245,0.61157024,0.6404959
397,0.61157024,0.6446281,0.6570248,0.6694215,0.6735537,0.7107438,0.7355372,0.75619835
134,0.5123967,0.55785125,0.6198347,0.6528926,0.6652893,0.6818182,0.6942149,0.73966944
93,0.4090909,0.59090906,0.6570248,0.6818182,0.6942149,0.73140496,0.76033056,0.78512394
354,0.11983471,0.11157025,0.11570248,0.12396694,0.12809917,0.12809917,0.1446281,0.1570248
196,0.41322315,0.4752066,0.4338843,0.5371901,0.5206612,0.5165289,0.553719,0.5123967
43,0.19008264,0.25619835,0.3553719,0.42561984,0.49586776,0.5165289,0.57438016,0.6280992
91,0.49173555,0.446281,0.5041322,0.5041322,0.5247934,0.58677685,0.5371901,0.6280992
174,0.5041322,0.5371901,0.5289256,0.57438016,0.5206612,0.5082645,0.54545456,0.58677685
366,0.38842976,0.59090906,0.7644628,0.7933884,0.8016529,0.8429752,0.8595041,0.8636364
209,0.2520661,0.23140496,0.2768595,0.41735536,0.4338843,0.6694215,0.8347107,0.8595041
324,0.54545456,0.61157024,0.6404959,0.6570248,0.6363636,0.6487603,0.69008267,0.6694215
223,0.38016528,0.39256197,0.41322315,0.5661157,0.59090906,0.59090906,0.6322314,0.69008267
311,0.62396693,0.6280992,0.6363636,0.661157,0.6570248,0.6528926,0.6570248,0.6528926
149,0.3305785,0.27272728,0.23966943,0.49586776,0.7933884,0.7768595,0.76859504,0.7933884
379,0.37603307,0.3966942,0.41735536,0.46694216,0.5247934,0.59090906,0.6446281,0.6694215
125,0.46280992,0.46280992,0.4214876,0.42561984,0.45041323,0.46280992,0.4752066,0.5289256
256,0.2107438,0.20661157,0.19421488,0.18181819,0.21900827,0.23966943,0.25619835,0.3429752
201,0.46694216,0.47933885,0.48347107,0.48347107,0.5041322,0.5495868,0.57438016,0.58264464
178,0.23140496,0.2231405,0.20661157,0.20661157,0.1983471,0.18181819,0.21900827,0.2231405
19,0.16528925,0.2231405,0.30165288,0.34710744,0.38429752,0.41322315,0.4338843,0.45454547
368,0.25619835,0.40082645,0.30165288,0.2644628,0.20247933,0.54545456,0.607438,0.61570245
211,0.3553719,0.45867768,0.5661157,0.62396693,0.6487603,0.6528926,0.6942149,0.7231405
240,0.10330579,0.12809917,0.23140496,0.36363637,0.5123967,0.60330576,0.6487603,0.6859504
152,0.60330576,0.6322314,0.6528926,0.6735537,0.677686,0.6983471,0.73140496,0.74380165
305,0.6487603,0.6322314,0.70247936,0.71487606,0.76033056,0.7768595,0.7892562,0.8016529
25,0.3677686,0.3677686,0.35123968,0.30165288,0.24793388,0.24793388,0.3677686,0.5123967
129,0.6735537,0.71487606,0.76033056,0.7644628,0.7644628,0.7892562,0.7933884,0.7933884
391,0.553719,0.59917355,0.6198347,0.62396693,0.6363636,0.6528926,0.6859504,0.6859504
280,0.5,0.54545456,0.58264464,0.62396693,0.6487603,0.69008267,0.6942149,0.71487606
107,0.40082645,0.35950413,0.56198347,0.58677685,0.57438016,0.59504133,0.6570248,0.71900827
214,0.40495867,0.45454547,0.5,0.53305787,0.57024795,0.59090906,0.61157024,0.6280992
53,0.18595041,0.19421488,0.32231405,0.5247934,0.661157,0.77272725,0.822314,0.838843
171,0.30165288,0.27272728,0.38016528,0.48347107,0.69008267,0.6983471,0.71900827,0.74793386
306,0.54545456,0.5371901,0.54545456,0.59090906,0.6198347,0.6446281,0.6694215,0.6528926
325,0.38016528,0.23140496,0.24380165,0.5289256,0.7933884,0.77272725,0.7768595,0.78512394
302,0.12396694,0.10330579,0.11570248,0.11570248,0.11157025,0.13636364,0.18595041,0.33471075
210,0.6528926,0.69008267,0.677686,0.69008267,0.71487606,0.74380165,0.74793386,0.7355372
313,0.3140496,0.24380165,0.446281,0.59090906,0.61570245,0.62396693,0.62396693,0.6404959
252,0.338843,0.45867768,0.6818182,0.77272725,0.78512394,0.8140496,0.838843,0.8512397
260,0.54545456,0.57438016,0.58677685,0.59090906,0.59504133,0.6322314,0.6404959,0.6528926
34,0.11157025,0.11157025,0.1446281,0.23140496,0.3140496,0.3553719,0.3677686,0.39256197
42,0.75206614,0.7933884,0.8181818,0.822314,0.838843,0.8429752,0.8512397,0.8512397
177,0.1446281,0.2107438,0.28512397,0.3429752,0.39256197,0.40495867,0.4090909,0.41322315
31,0.1570248,0.1983471,0.24380165,0.3553719,0.49586776,0.59917355,0.6280992,0.5785124
115,0.20661157,0.28099173,0.3677686,0.39256197,0.6818182,0.71487606,0.7231405,0.73966944
342,0.44214877,0.5785124,0.7066116,0.7768595,0.7892562,0.7768595,0.7892562,0.8016529
101,0.48347107,0.5206612,0.59090906,0.6322314,0.6528926,0.7066116,0.7066116,0.74380165
133,0.44214877,0.4214876,0.446281,0.45867768,0.4752066,0.5041322,0.5123967,0.607438
274,0.4214876,0.45041323,0.5123967,0.53305787,0.5041322,0.5247934,0.5247934,0.5495868
314,0.1446281,0.12396694,0.11157025,0.11157025,0.12396694,0.12809917,0.13636364,0.12396694
263,0.5206612,0.5371901,0.553719,0.61157024,0.6363636,0.677686,0.7107438,0.71900827
289,0.20661157,0.20661157,0.20661157,0.17355372,0.11983471,0.21900827,0.34710744,0.4338843
338,0.3264463,0.46280992,0.553719,0.553719,0.553719,0.5413223,0.607438,0.6446281
106,0.5661157,0.6198347,0.6570248,0.69008267,0.70247936,0.71487606,0.70247936,0.70247936
262,0.38429752,0.38429752,0.34710744,0.21900827,0.16528925,0.11157025,0.18595041,0.4338843
199,0.7107438,0.74793386,0.76859504,0.7768595,0.7768595,0.7768595,0.7933884,0.80991733
390,0.15289256,0.17355372,0.26859504,0.34710744,0.39256197,0.42975205,0.45454547,0.48347107
